cluster,ad,reuse_creative,direction,ratio,path,utm_content
validation,creditor-harassment,Creditor_Harassment,illustration,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/Creditor_Harassment_D1_Illustration_1x1.png,creditor-harassment-illustration
validation,creditor-harassment,Creditor_Harassment,illustration,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/Creditor_Harassment_D1_Illustration_1_91x1.png,creditor-harassment-illustration
validation,creditor-harassment,Creditor_Harassment,photo,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/Creditor_Harassment_D2_Photo_1x1.png,creditor-harassment-photo
validation,creditor-harassment,Creditor_Harassment,photo,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/Creditor_Harassment_D2_Photo_1_91x1.png,creditor-harassment-photo
validation,creditor-harassment,Creditor_Harassment,stilllife,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/Creditor_Harassment_D3_StillLife_1x1.png,creditor-harassment-stilllife
validation,creditor-harassment,Creditor_Harassment,stilllife,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/Creditor_Harassment_D3_StillLife_1_91x1.png,creditor-harassment-stilllife
validation,fdcpa-rights,FDCPA_Harassment,illustration,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/FDCPA_Harassment_D1_Illustration_1x1.png,fdcpa-rights-illustration
validation,fdcpa-rights,FDCPA_Harassment,illustration,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/FDCPA_Harassment_D1_Illustration_1_91x1.png,fdcpa-rights-illustration
validation,fdcpa-rights,FDCPA_Harassment,photo,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/FDCPA_Harassment_D2_Photo_1x1.png,fdcpa-rights-photo
validation,fdcpa-rights,FDCPA_Harassment,photo,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/FDCPA_Harassment_D2_Photo_1_91x1.png,fdcpa-rights-photo
validation,fdcpa-rights,FDCPA_Harassment,stilllife,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/FDCPA_Harassment_D3_StillLife_1x1.png,fdcpa-rights-stilllife
validation,fdcpa-rights,FDCPA_Harassment,stilllife,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/FDCPA_Harassment_D3_StillLife_1_91x1.png,fdcpa-rights-stilllife
validation,multiple-collectors,Multiple_Collectors,illustration,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/Multiple_Collectors_D1_Illustration_1x1.png,multiple-collectors-illustration
validation,multiple-collectors,Multiple_Collectors,illustration,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/Multiple_Collectors_D1_Illustration_1_91x1.png,multiple-collectors-illustration
validation,multiple-collectors,Multiple_Collectors,photo,1x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/Multiple_Collectors_D2_Photo_1x1.png,multiple-collectors-photo
validation,multiple-collectors,Multiple_Collectors,photo,1.91x1,https://2-human.github.io/credo-public-meta-ads-preview/assets/harassment/v3-pilot/Multiple_Collectors_D2_Photo_1_91x1.png,multiple-collectors-photo
